"Osnovni podatki o sklenitvah zakonskih zvez po: LETO , MERITVE"

" ";"Povpreèna starost ženina ob sklenitvi zakonske zveze";"Povpreèna starost neveste ob sklenitvi zakonske zveze"
"1956";28.9;25.7
"1957";28.9;25.5
"1958";29.1;25.9
"1959";29.3;25.9
"1960";29.1;25.8
"1961";29.1;25.6
"1962";28.5;25.2
"1963";28.6;25.4
"1964";28.6;25.3
"1965";28.1;24.9
"1966";28.2;24.7
"1967";28.3;24.8
"1968";28.1;24.5
"1969";28.1;24.3
"1970";28.0;24.3
"1971";27.6;24.1
"1972";27.5;24.0
"1973";27.6;24.1
"1974";27.3;24.0
"1975";27.2;24.0
"1976";27.4;24.2
"1977";27.5;24.2
"1978";27.5;24.1
"1979";27.6;24.3
"1980";27.5;24.1
"1981";27.5;24.2
"1982";27.6;24.2
"1983";27.6;24.2
"1984";27.1;23.8
"1985";27.2;23.8
"1986";27.6;24.3
"1987";27.0;23.7
"1988";27.3;24.2
"1989";27.8;24.7
"1990";28.7;25.4
"1991";28.6;25.6
"1992";29.3;26.1
"1993";30.0;26.7
"1994";30.2;26.9
"1995";30.1;26.9
"1996";30.4;27.2
"1997";30.7;27.6
"1998";30.9;27.8
"1999";31.3;28.1
"2000";31.4;28.4
"2001";31.8;28.8
"2002";32.3;29.2
"2003";32.3;29.2
"2004";32.6;29.6
"2005";33.0;29.8
"2006";32.8;30.0
"2007";33.2;30.3
"2008";33.2;30.2
"2009";33.1;30.3
"2010";33.8;30.8
"2011";34.1;31.2
"2012";34.4;31.5
"2013";34.5;31.6
"2014";34.5;31.8
"2015";34.8;32.1
"2016";35.3;32.6

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=9490 target=_blank) Metodološka pojasnila"

"Povpreèna starost je tehtana aritmetièna sredina starosti ženinov. "
"Izraèunavamo jo iz absolutnih podatkov. Pri izraèunu upoštevamo kot "
"uteži sredine starostnih razredov."

"Povpreèna starost je tehtana aritmetièna sredina starosti nevest. "
"Izraèunavamo jo iz absolutnih podatkov. Pri izraèunu upoštevamo kot "
"uteži sredine starostnih razredov."

